start,end,duration_min,state,top_variables,severity
2018-02-22 12:25:00,2018-02-23 00:35:00,735,0,"Cyclone_Gas_Outlet_Temp,Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp",2.3668704653337116
2018-02-22 12:45:00,2018-02-22 12:50:00,10,2,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_cone_draft",1.698635776438163
2018-02-23 13:50:00,2018-02-23 14:10:00,25,0,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",2.3427066215916246
2018-02-23 14:30:00,2018-02-23 14:45:00,20,3,"Cyclone_Gas_Outlet_Temp,Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp",2.29367633530541
2018-02-23 18:25:00,2018-02-23 18:30:00,10,3,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",2.0771243214104804
2018-02-24 10:05:00,2018-02-24 10:15:00,15,4,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.0743509718742634
2018-02-25 11:55:00,2018-02-25 12:50:00,60,1,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.8307150300467405
2018-02-25 13:25:00,2018-02-25 13:40:00,20,1,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.7817320921204935
2018-02-25 13:55:00,2018-02-25 14:55:00,65,1,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.7947839718192682
2018-02-27 16:25:00,2018-02-27 16:30:00,10,3,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.9141938117841513
2018-02-28 19:00:00,2018-02-28 21:05:00,130,3,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft",2.710332039707294
2018-02-28 20:20:00,2018-02-28 20:40:00,25,4,"Cyclone_cone_draft,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.5491927702199424
