state,count,Cyclone_Inlet_Gas_Temp_mean,Cyclone_Inlet_Gas_Temp_std,Cyclone_Inlet_Gas_Temp_p10,Cyclone_Inlet_Gas_Temp_p90,Cyclone_Gas_Outlet_Temp_mean,Cyclone_Gas_Outlet_Temp_std,Cyclone_Gas_Outlet_Temp_p10,Cyclone_Gas_Outlet_Temp_p90,Cyclone_Outlet_Gas_draft_mean,Cyclone_Outlet_Gas_draft_std,Cyclone_Outlet_Gas_draft_p10,Cyclone_Outlet_Gas_draft_p90,Cyclone_cone_draft_mean,Cyclone_cone_draft_std,Cyclone_cone_draft_p10,Cyclone_cone_draft_p90,Cyclone_Inlet_Draft_mean,Cyclone_Inlet_Draft_std,Cyclone_Inlet_Draft_p10,Cyclone_Inlet_Draft_p90,Cyclone_Material_Temp_mean,Cyclone_Material_Temp_std,Cyclone_Material_Temp_p10,Cyclone_Material_Temp_p90,avg_duration_min,event_count
0,76661,902.9565875738641,21.571313726924878,878.51,929.86,902.23262206337,24.918049815261735,872.07,932.42,-266.2464796963254,17.231735568275187,-288.45,-246.13,-239.1755901957971,25.95648115741844,-269.77,-203.59,-211.29906393081225,14.879514856123809,-229.59,-193.55,931.445666114452,35.902407953619445,892.87,975.39,132.35475051264524,2926
1,73646,879.2946828069413,17.954931110380134,858.61,902.0,871.0093074980311,23.863329537058203,840.72,900.11,-193.01060940173267,18.30477651643382,-218.03,-173.23,-183.31837221301905,26.91930235739399,-213.69,-148.51,-156.4388922684192,13.54496055423048,-172.22,-140.14,908.8331529207287,34.54159567877557,868.69,949.3,85.80429263789522,4333
2,66109,884.4938736026863,21.296216075042537,860.66,911.16,846.611096068614,37.6245091362529,795.696,886.19,-236.71161112707804,17.905458157788214,-259.94,-214.35,-221.75730702324947,20.09327066256869,-245.98,-197.96,-185.13437035804503,14.875281721821816,-204.74,-168.00799999999995,916.53618584459,37.55627072168336,874.12,962.83,77.20194384449245,4630
3,62337,903.0711242119446,26.598382029280984,873.55,938.724,908.9200753966344,27.14945314349536,876.83,942.274,-218.86469576655918,22.564519237321125,-245.95,-188.47,-196.76990599483452,25.24305204151794,-227.46,-166.69599999999997,-171.82816000128335,16.718297184733284,-191.71,-150.73,950.6328459823219,35.49579580343073,906.01,994.42,50.80401606425703,6225
4,10368,890.3062760416667,57.294046255341776,798.8,970.2,857.2202932098766,58.79187645975239,777.837,927.183,-130.10745949074072,58.166257664324704,-200.846,-35.16000000000008,-127.64705536265434,55.56578785039195,-196.036,-32.11000000000004,-105.61181712962964,43.854511556606695,-159.423,-37.36000000000007,910.0816647376543,72.86003977829878,816.918,999.171,1075.6014150943397,424
