start,end,duration_min
2018-04-24 05:50:00,2018-04-24 06:20:00,35.0
2018-04-24 07:00:00,2018-04-24 08:35:00,100.0
2018-04-24 09:00:00,2018-04-24 09:30:00,35.0
2018-04-24 13:20:00,2018-04-24 13:55:00,40.0
2018-04-24 14:25:00,2018-04-24 15:30:00,70.0
2018-04-24 15:50:00,2018-04-24 16:20:00,35.0
2018-04-24 16:45:00,2018-04-24 18:55:00,135.0
2018-04-24 20:40:00,2018-04-24 21:10:00,35.0
2018-04-24 22:10:00,2018-04-24 23:55:00,110.0
2018-04-25 00:25:00,2018-04-25 03:30:00,190.0
2018-04-25 05:20:00,2018-04-25 05:45:00,30.0
2018-04-25 06:35:00,2018-04-25 07:30:00,60.0
2018-04-25 09:35:00,2018-04-25 10:05:00,35.0
2018-04-25 10:15:00,2018-04-25 10:40:00,30.0
2018-04-25 11:10:00,2018-04-25 11:45:00,40.0
2018-04-25 11:55:00,2018-04-25 13:40:00,110.0
2018-04-25 15:45:00,2018-04-25 17:05:00,85.0
2018-04-25 18:10:00,2018-04-26 01:45:00,460.0
2018-04-26 02:20:00,2018-04-26 06:40:00,265.0
2018-04-26 08:20:00,2018-04-26 13:40:00,325.0
2018-04-26 14:40:00,2018-04-26 15:10:00,35.0
2018-04-26 15:30:00,2018-05-01 15:05:00,7180.0
2018-05-04 16:10:00,2018-05-04 21:25:00,320.0
2018-05-05 10:55:00,2018-05-05 14:45:00,235.0
2018-05-05 15:20:00,2018-05-05 21:40:00,385.0
2018-05-06 06:20:00,2018-05-06 06:50:00,35.0
2018-05-07 17:40:00,2018-05-07 22:35:00,300.0
2018-05-08 11:40:00,2018-05-08 12:25:00,50.0
2018-05-09 12:20:00,2018-05-09 13:50:00,95.0
2018-05-10 10:35:00,2018-05-10 12:15:00,105.0
2018-05-11 14:40:00,2018-05-11 16:55:00,140.0
2018-05-16 11:40:00,2018-05-17 21:10:00,2015.0
2018-05-18 06:20:00,2018-05-18 08:20:00,125.0
2018-05-19 13:40:00,2018-05-19 14:10:00,35.0
2018-05-20 08:00:00,2018-05-20 09:20:00,85.0
2018-05-20 14:00:00,2018-05-20 19:55:00,360.0
2018-05-21 02:55:00,2018-05-21 04:45:00,115.0
2018-05-21 12:05:00,2018-05-21 12:30:00,30.0
2018-05-21 13:25:00,2018-05-21 18:40:00,320.0
2018-05-29 13:35:00,2018-05-29 15:55:00,145.0
2018-05-31 20:00:00,2018-06-01 02:30:00,395.0
2018-06-05 12:25:00,2018-06-07 05:25:00,2465.0
2018-06-20 00:50:00,2018-06-21 17:30:00,2445.0
2018-06-21 19:20:00,2018-06-21 21:10:00,115.0
2018-06-27 04:30:00,2018-06-27 05:00:00,35.0
2018-06-27 15:20:00,2018-06-27 16:30:00,75.0
2018-06-28 07:40:00,2018-06-28 11:15:00,220.0
